ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked
327,Unit_Labor_Embedded_steel_Interior,Unit cost of Labor Embedded steel Interior structure in 2017,967.76,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Embedded_steel_Interior,infl",Total_Labor_Embedded_steel_Interior
328,Unit_Labor_Formwork_Substr,Unit cost of Labor Formwork Substructure (base mat) in 2017,267.27,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Formwork_Substr,infl",Total_Labor_Formwork_Substr
329,Unit_Labor_Formwork_Superstr,Unit cost of Labor Formwork Superstructure (shell) in 2017,315.27,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Formwork_Superstr,infl",Total_Labor_Formwork_Superstr
330,Unit_Labor_Formwork_Dome,Unit cost of Labor Formwork Superstructure (dome) in 2017,168.38,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Formwork_Dome,infl",Total_Labor_Formwork_Dome
331,Unit_Labor_Formwork_Interior,Unit cost of Labor Formwork Interior structure in 2017,664.58,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Formwork_Interior,infl",Total_Labor_Formwork_Interior
332,Unit_Labor_Maj_supp_embedments_Interior,Unit cost of Labor Major Support Embedments Interior structure in 2017,440.71,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Maj_supp_embedments_Interior,infl",Total_Labor_Maj_supp_embedments_Interior
333,Unit_Labor_Reinforc_steel_Substr,Unit cost of Labor Reinforc steel Substructure (base mat) in 2017,925.88,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Reinforc_steel_Substr,infl",Total_Labor_Reinforc_steel_Substr
334,Unit_Labor_Reinforc_steel_Superstr,Unit cost of Labor Reinforc steel Superstructure (shell) in 2017,936.16,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Reinforc_steel_Superstr,infl",Total_Labor_Reinforc_steel_Superstr
335,Unit_Labor_Reinforc_steel_Dome,Unit cost of Labor Reinforc steel Superstructure (dome) in 2017,862.76,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Reinforc_steel_Dome,infl",Total_Labor_Reinforc_steel_Dome
336,Unit_Labor_Reinforc_steel_Interior,Unit cost of Labor Reinforc steel Interior structure in 2017,880.44,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Reinforc_steel_Interior,infl",Total_Labor_Reinforc_steel_Interior
