ind,cost_element,cost_2017,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated
35,220A.2312_fac,6260000,220A_fac,unit_weights_factor,million,"c_220A.2312_cs_weight, c_220A.2312_ss_weight, factor_220A.2312",220A.2312,21,0
36,220A.2321_fac,1720000,220A_fac,complex,million,c_220A.2321_fac,220A.2321,23,0
37,220A.2322_fac,15300000,220A_fac,total_weight_prn,million,"c_220A.2322_tot_weight, prn_220A.2322cs, prn_220A.2322ss, no_of_acu",220A.2322,20,0
38,220A.2323_fac,899999,220A_fac,total_weight_prn,million,"c_220A.2323_tot_weight, prn_220A.2323cs, prn_220A.2323ss, no_of_bit",220A.2323,20,0
39,220A.2324_fac,50001,220A_fac,unit_weights,million,"c_zero, c_220A.2324_ss_weight",220A.2324,5,0
40,220A.2325_fac,40000,220A_fac,complex,million,c_220A.2325_fac,220A.2325,23,0
41,220A.251_fac,400000,220A_fac,unit_weights_factor,million,"c_220A.251_cs_weight, c_220A.251_ss_weight, factor_220A.251",220A.251,21,0
42,220A.254_fac,2510000,220A_fac,esc_1978,million,"escalate_1978, ref_220A.254_1978",220A.254,19,0
43,220A.2611_fac,2220000,220A_fac,sum_multi_accounts,million,"c_226.4111_fac, c_226.4112_fac, c_226.41131_fac, c_226.41132_fac, c_226.4114_fac, c_226.41151_fac, c_226.41152_fac",220A.2611,1,0
44,220A.2612_fac,2450000,220A_fac,sum_multi_accounts,million,"c_226.4121_fac, c_226.4122_fac, c_226.4123_fac, c_226.4124_fac, c_226.4125_fac, c_226.4126_fac, c_226.4127_fac, c_226.4128_fac",220A.2612,1,0
45,220A.2613_fac,1140000,220A_fac,sum_multi_accounts,million,"c_226.4133_fac, c_226.4134_fac, c_226.4135_fac, c_226.4131_fac",220A.2613,1,0
46,220A.2614_fac,2450000,220A_fac,sum_multi_accounts,million,"c_226.4141_fac, c_226.4142_fac, c_226.4143_fac, c_226.4144_fac, c_226.4145_fac",220A.2614,1,0
47,220A.262_fac,9190000,220A_fac,NO_ALG,million,N/A,220A.262,N/A,0
48,220A.27_fac,0,220A_fac,default_0,million,N/A,220A.27,14,0
49,220A_fac,514720000,0_fac,NO_ALG,million,N/A,220A,N/A,0
50,221.11_fac,2317290,221_fac,NO_ALG,million,N/A,221.11,N/A,0
51,221.12_fac,0,221_fac,default_0,million,N/A,221.12,14,0
52,221.13_fac,0,221_fac,default_0,million,N/A,221.13,14,0
53,221.14_fac,0,221_fac,default_0,million,N/A,221.14,14,0
54,221.21_fac,71734,221_fac,NO_ALG,million,N/A,221.21,N/A,0
55,221_fac,2389020,22_fac,NO_ALG,million,N/A,221,N/A,0
56,222.11_fac,3780840,222_fac,MWth_scale,million,"c_222.11_fac, mwth, scale_1.0",222.11,8,0
57,222.12_fac,4394350,222_fac,MWth_scale,million,"c_222.12_fac, mwth, scale_1.0",222.12,8,0
58,222.13_fac,75141,222_fac,esc_1987,million,"escalate_1987, ref_222.13_fac",222.13,12,0
59,222.14_fac,15028,222_fac,MWth_scale,million,"c_222.14_fac, mwth, scale_1.0",222.14,8,0
60,222_fac,8265360,22_fac,MWth_scale,million,"c_222_fac, mwth, scale_1.0",222,8,0
61,223.1_fac,2969910,223_fac,factor_sum,million,"fac_223.1, prn_223.1_fac, c_220A.2311_fac, c_220A.2312_fac",223.1,22,0
62,223.3_fac,3743030,223_fac,factor_sum,million,"fac_223.3, prn_223.3_fac, c_220A.2321_fac, c_220A.2322_fac, c_220A.2323_fac, c_220A.2324_fac, c_220A.2325_fac",223.3,22,0
63,223.4_fac,8660310,223_fac,unit_volume,million,"c_223.4_unit_vol_fac, vol_223.4",223.4,9,0
64,223.5_fac,2459540,223_fac,NO_ALG,million,N/A,223.5,N/A,0
65,223_fac,17832800,22_fac,NO_ALG,million,N/A,223,N/A,0
66,224_fac,46047900,22_fac,esc_1987,million,"escalate_1987, ref_224_fac",224,12,0
67,225_fac,6278660,22_fac,NO_ALG,million,N/A,225,N/A,0
68,226.1_fac,2058360,226_fac,NO_ALG,million,N/A,226.1,N/A,0
69,226.3_fac,2274530,226_fac,NO_ALG,million,N/A,226.3,N/A,0
70,226.4_fac,19443300,226_fac,MWth_scale,million,"c_226.4_fac, mwth, scale_1.0",226.4,8,0
71,226.6_fac,442507,226_fac,NO_ALG,million,N/A,226.6,N/A,0
72,226.7_fac,28179300,226_fac,MWth_scale,million,"c_226.7_fac, mwth, scale_1.0",226.7,8,0
73,226.8_fac,0,226_fac,NO_ALG,million,N/A,226.8,N/A,0
74,226.9_fac,1038110,226_fac,NO_ALG,million,N/A,226.9,N/A,0
75,226_fac,53436100,22_fac,NO_ALG,million,N/A,226,N/A,0
76,227_fac,37538400,22_fac,esc_1987,million,"escalate_1987, ref_227_fac",227,12,0
77,228_fac,0,22_fac,default_0,million,N/A,228,14,0
78,22_fac,686508000,2_fac,NO_ALG,million,N/A,22,N/A,0
79,231_fac,356031000,23_fac,dev_factor_ref,million,"c_turbine, scale_tur_231_fac, n_231",231,10,0
80,233_fac,56339400,23_fac,MWth_scale,million,"c_233_fac, mwth, scale_0.8",233,8,0
81,234_fac,44874300,23_fac,MWth_scale,million,"c_234_fac, mwth, scale_0.8",234,8,0
82,235_fac,31848700,23_fac,ptn_account,million,"c_231_fac, prn_235_of_231_fac",235,4,0
83,236_fac,5322810,23_fac,esc_1987,million,"escalate_1987, ref_236_fac",236,12,0
84,237_fac,0,23_fac,default_0,million,N/A,237,14,0
