ind,cost_element,cost_2018,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
344,227_mat,5831239.22166098,22_mat,,$,,227,LPSR_DIRECT,0,rollup_from_subaccounts
345,227_lab,66773772.12037918,22_lab,,$,,227,LPSR_DIRECT,0,rollup_from_subaccounts
346,227.1_fac,16731116.034276668,227_fac,,$,,227.1,LPSR_DIRECT,0,rollup_from_subaccounts
347,227.1_mat,415956.63702705654,227_mat,,$,,227.1,LPSR_DIRECT,0,rollup_from_subaccounts
348,227.1_lab,8249629.071047681,227_lab,,$,,227.1,LPSR_DIRECT,0,rollup_from_subaccounts
349,227.11_fac,6701731.730375718,227.1_fac,category_scale,$,"ref_227_11_fac, scale_ap1000",227.11,LPSR_DIRECT,0,category_scaled
350,227.11_mat,134371.86650275468,227.1_mat,category_scale,$,"ref_227_11_mat, scale_ap1000",227.11,LPSR_DIRECT,0,category_scaled
351,227.11_lab,2730078.873139126,227.1_lab,category_scale,$,"ref_227_11_lab, scale_ap1000",227.11,LPSR_DIRECT,0,category_scaled
352,227.15_fac,574574.0457296326,227.1_fac,category_scale,$,"ref_227_15_fac, scale_ap1000",227.15,LPSR_DIRECT,0,category_scaled
353,227.15_mat,21724.17742507607,227.1_mat,category_scale,$,"ref_227_15_mat, scale_ap1000",227.15,LPSR_DIRECT,0,category_scaled
354,227.15_lab,418609.7770808031,227.1_lab,category_scale,$,"ref_227_15_lab, scale_ap1000",227.15,LPSR_DIRECT,0,category_scaled
355,227.16_fac,2401728.739311987,227.1_fac,category_scale,$,"ref_227_16_fac, scale_ap1000",227.16,LPSR_DIRECT,0,category_scaled
356,227.16_mat,85022.3131654948,227.1_mat,category_scale,$,"ref_227_16_mat, scale_ap1000",227.16,LPSR_DIRECT,0,category_scaled
357,227.16_lab,1638045.8128769724,227.1_lab,category_scale,$,"ref_227_16_lab, scale_ap1000",227.16,LPSR_DIRECT,0,category_scaled
358,227.17_fac,2298303.069811153,227.1_fac,category_scale,$,"ref_227_17_fac, scale_ap1000",227.17,LPSR_DIRECT,0,category_scaled
359,227.17_mat,85022.3131654948,227.1_mat,category_scale,$,"ref_227_17_mat, scale_ap1000",227.17,LPSR_DIRECT,0,category_scaled
360,227.17_lab,1638045.8128769724,227.1_lab,category_scale,$,"ref_227_17_lab, scale_ap1000",227.17,LPSR_DIRECT,0,category_scaled
361,227.18_fac,2876843.517601048,227.1_fac,category_scale,$,"ref_227_18_fac, scale_ap1000",227.18,LPSR_DIRECT,0,category_scaled
362,227.18_mat,62708.85424658962,227.1_mat,category_scale,$,"ref_227_18_mat, scale_ap1000",227.18,LPSR_DIRECT,0,category_scaled
363,227.18_lab,1274037.3112288958,227.1_lab,category_scale,$,"ref_227_18_lab, scale_ap1000",227.18,LPSR_DIRECT,0,category_scaled
364,227.19_fac,1877934.9314471288,227.1_fac,category_scale,$,"ref_227_19_fac, scale_n_crs, scale_ap1000",227.19,LPSR_DIRECT,0,category_scaled
365,227.19_mat,27107.112521646617,227.1_mat,category_scale,$,"ref_227_19_mat, scale_n_crs, scale_ap1000",227.19,LPSR_DIRECT,0,category_scaled
366,227.19_lab,550811.4838449135,227.1_lab,category_scale,$,"ref_227_19_lab, scale_n_crs, scale_ap1000",227.19,LPSR_DIRECT,0,category_scaled
