ind,cost_element,cost_2017,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
372,227.3_lab,2569941.7028400004,227_lab,category_scale,$,ref_227_3_lab,227.3,LPSR_DIRECT,1,collapsed_category_scaled
373,227.4_fac,6578958.462052632,227_fac,category_scale,$,"ref_227_4_fac, scale_n_crs",227.4,LPSR_DIRECT,1,collapsed_category_scaled
374,227.4_mat,231764.0694947368,227_mat,category_scale,$,"ref_227_4_mat, scale_n_crs",227.4,LPSR_DIRECT,1,collapsed_category_scaled
375,227.4_lab,2354463.598226316,227_lab,category_scale,$,"ref_227_4_lab, scale_n_crs",227.4,LPSR_DIRECT,1,collapsed_category_scaled
376,227.5_fac,527288.0859105263,227_fac,category_scale,$,"ref_227_5_fac, scale_n_crs",227.5,LPSR_DIRECT,1,category_scaled
377,227.5_mat,1054159.797131579,227_mat,category_scale,$,"ref_227_5_mat, scale_n_crs",227.5,LPSR_DIRECT,1,category_scaled
378,227.5_lab,10807359.919578947,227_lab,category_scale,$,"ref_227_5_lab, scale_n_crs",227.5,LPSR_DIRECT,1,category_scaled
379,227.9_fac,6317727.380631579,227_fac,category_scale,$,"ref_227_9_fac, scale_n_crs",227.9,LPSR_DIRECT,1,category_scaled
380,227.9_mat,379941.66633684206,227_mat,category_scale,$,"ref_227_9_mat, scale_n_crs",227.9,LPSR_DIRECT,1,category_scaled
381,227.9_lab,3859771.400368421,227_lab,category_scale,$,"ref_227_9_lab, scale_n_crs",227.9,LPSR_DIRECT,1,category_scaled
382,228_fac,0.0,22_fac,,$,,228,LPSR_DIRECT,1,collapsed_rollup_zero
383,228_mat,7193434.601400001,22_mat,category_scale,$,ref_228_mat,228,LPSR_DIRECT,1,collapsed_category_scaled
384,228_lab,13169656.351,22_lab,category_scale,$,ref_228_lab,228,LPSR_DIRECT,1,collapsed_category_scaled
385,229_fac,0.0,22_fac,,$,,229,LPSR_DIRECT,1,collapsed_rollup_zero
386,229_mat,0.0,22_mat,,$,,229,LPSR_DIRECT,1,collapsed_rollup_zero
387,229_lab,0.0,22_lab,,$,,229,LPSR_DIRECT,1,collapsed_rollup_zero
388,23_fac,390994355.4347473,2_fac,category_scale,$,"ref_23_fac, scale_elec_P",23,LPSR_DIRECT,1,collapsed_category_scaled
389,23_mat,25120067.25584304,2_mat,category_scale,$,"ref_23_mat, scale_elec_P",23,LPSR_DIRECT,1,collapsed_category_scaled
390,23_lab,165956705.163624,2_lab,category_scale,$,"ref_23_lab, scale_elec_P",23,LPSR_DIRECT,1,collapsed_category_scaled
391,24_fac,29436588.96398727,2_fac,,$,,24,LPSR_DIRECT,1,rollup_from_subaccounts
392,24_mat,26808881.84739582,2_mat,,$,,24,LPSR_DIRECT,1,rollup_from_subaccounts
393,24_lab,89078027.15386322,2_lab,,$,,24,LPSR_DIRECT,1,rollup_from_subaccounts
394,241_fac,13383265.041500611,24_fac,category_scale,$,"ref_241_fac, scale_tur_plant_equip_elec_P, f_elec_swgr",241,LPSR_DIRECT,1,collapsed_category_scaled
395,241_mat,105054.74681666934,24_mat,category_scale,$,"ref_241_mat, scale_tur_plant_equip_elec_P, f_elec_swgr",241,LPSR_DIRECT,1,collapsed_category_scaled
396,241_lab,731146.3223681122,24_lab,category_scale,$,"ref_241_lab, scale_tur_plant_equip_elec_P, f_elec_swgr",241,LPSR_DIRECT,1,collapsed_category_scaled
397,242_fac,10635016.715895744,24_fac,category_scale,$,"ref_242_fac, scale_tur_plant_equip_elec_P, f_elec_st_serv",242,LPSR_DIRECT,1,collapsed_category_scaled
398,242_mat,189558.1954428846,24_mat,category_scale,$,"ref_242_mat, scale_tur_plant_equip_elec_P, f_elec_st_serv",242,LPSR_DIRECT,1,collapsed_category_scaled
399,242_lab,997429.9659796514,24_lab,category_scale,$,"ref_242_lab, scale_tur_plant_equip_elec_P, f_elec_st_serv",242,LPSR_DIRECT,1,collapsed_category_scaled
400,243_fac,3088404.796542287,24_fac,category_scale,$,"ref_243_fac, scale_tur_plant_equip_elec_P, f_elec_switchboards",243,LPSR_DIRECT,1,collapsed_category_scaled
401,243_mat,62329.08170593352,24_mat,category_scale,$,"ref_243_mat, scale_tur_plant_equip_elec_P, f_elec_switchboards",243,LPSR_DIRECT,1,collapsed_category_scaled
402,243_lab,688103.6038249799,24_lab,category_scale,$,"ref_243_lab, scale_tur_plant_equip_elec_P, f_elec_switchboards",243,LPSR_DIRECT,1,collapsed_category_scaled
